hour,id,sum(time)
0,-1,-1.0
1,0,1947.5150022506714
1,1,1881.315001487732
2,2,1917.3430047035217
0,3,1912.865005493164
3,4,1891.7619953155518
5,5,1772.226002216339
2,6,1894.8840012550354
2,7,1960.5910153388977
3,8,1823.5539922714233
3,9,1848.785002231598
1,10,1830.0849976539612
3,11,2012.3360114097595
2,12,1958.175000667572
2,13,2003.1800093650818
4,14,1905.9570155143738
4,15,2146.0030012130737
1,16,1843.6280088424683
1,17,1870.9300165176392
1,18,1937.1749987602234
2,19,1979.106011390686
4,20,1980.9819889068604
1,21,1894.4640016555786
1,22,1944.6319847106934
3,23,1892.794005870819
2,24,1720.98699426651
2,25,1835.637990951538
1,26,1912.763020515442
2,27,1918.7960109710693
2,28,1849.5639991760254
3,29,1966.5370125770569
3,30,1815.427984237671
3,31,1956.5169892311096
4,32,1927.302990436554
2,33,1721.6920037269592
1,34,1560.4240055084229
4,35,1520.639003753662
1,36,1763.2090058326721
2,37,1522.9440021514893
2,38,1544.806010723114
5,39,1536.3750071525574
0,40,1518.0499997138977
1,41,1480.2299976348877
2,42,1551.3559970855713
5,43,1585.5489974021912
1,44,1515.9139938354492
2,45,1474.7340059280396
3,46,1503.3460040092468
2,47,1533.9920015335083
4,48,1555.506004333496
2,49,1479.276005268097
1,50,1550.4819912910461
4,51,1472.5750036239624
3,52,1536.413996219635
3,53,1489.5940012931824
2,54,1477.4740076065063
2,55,1476.9509973526
2,56,1436.8450002670288
1,57,1428.4950094223022
3,58,1524.1530027389526
3,59,1518.7189984321594
2,60,1447.4230041503906
1,61,1579.6089916229248
1,62,1496.5889959335327
3,63,1566.8360033035278
1,64,1458.080005645752
1,65,1467.7879934310913
2,66,1535.7779984474182
3,67,1496.3970007896423
1,68,1575.8000044822693
3,69,1522.4549918174744
2,70,1533.03599691391
2,71,1480.9360074996948
4,72,1454.603998184204
1,73,1505.8959999084473
4,74,1637.5010075569153
2,75,1505.8370032310486
1,76,1589.3650007247925
2,77,1584.9889945983887
4,78,1475.4500017166138
4,79,1614.2339825630188
4,80,1493.0479984283447
2,81,1632.3329939842224
2,82,1528.39200258255
0,83,1494.6119990348816
3,84,1584.4349970817566
1,85,1483.4869990348816
3,86,1157.7599935531616
0,87,1125.0150003433228
2,88,1196.735996246338
4,89,1100.3300018310547
3,90,790.2359981536865
2,91,810.1079959869385
0,92,736.5299944877625
3,93,754.1110043525696
4,94,769.4019994735718
1,95,758.9809989929199
3,96,881.3349995613098
2,97,744.7390022277832
2,98,801.8750004768372
0,99,799.8619980812073
2,100,753.5829973220825
2,101,780.3739986419678
4,102,752.78200340271
4,103,812.932008266449
3,104,764.6539978981018
2,105,842.9269986152649
3,106,786.4850039482117
2,107,804.8579931259155
1,108,803.5300030708313
8,109,802.9280052185059
2,110,737.4180016517639
3,111,741.5950026512146
3,112,778.7719960212708
3,113,801.276002407074
2,114,810.5180139541626
2,115,812.8880004882812
0,116,770.1990008354187
3,117,814.3620076179504
2,118,849.972993850708
3,119,811.63401222229
2,120,808.3670010566711
1,121,784.912992477417
3,122,726.4580011367798
2,123,776.0660009384155
4,124,793.1060018539429
2,125,452.2699956893921
0,126,397.42999935150146
3,127,382.0369997024536
2,128,409.15600204467773
0,129,407.42899894714355
2,130,411.16199493408203
1,131,456.84299898147583
1,132,381.7869997024536
1,133,402.72699642181396
6,134,473.14399909973145
0,135,431.8080015182495
3,136,401.9250030517578
2,137,398.060001373291
6,138,421.4580020904541
5,139,429.7200012207031
5,140,424.64099502563477
2,141,419.2719955444336
5,142,386.47600173950195
3,143,399.52099418640137
6,144,431.280002117157
2,145,390.40299558639526
2,146,424.4720034599304
4,147,452.9269971847534
7,148,412.399995803833
1,149,391.41600131988525
3,150,416.66499614715576
1,151,420.70800733566284
4,152,419.77599716186523
1,153,379.7049970626831
2,154,386.40899658203125
4,155,413.735999584198
2,156,414.55100440979004
4,157,415.73000144958496
2,158,388.06999588012695
2,159,423.4159998893738
5,160,424.85999870300293
2,161,403.16899728775024
0,162,416.01300144195557
0,163,433.34100246429443
1,164,401.31099796295166
15,165,366.56199741363525
2,166,407.3590016365051
6,167,406.09600353240967
2,168,391.0769987106323
2,169,396.73600578308105
2,170,377.53599786758423
3,171,438.13500213623047
2,172,410.6779947280884
1,173,381.12199878692627
6,174,423.7579951286316
0,175,395.27599811553955
4,176,413.41999530792236
3,177,416.8199996948242
4,178,392.0420002937317
4,179,399.90200328826904
2,180,397.0069923400879
5,181,421.16099739074707
1,182,421.6690020561218
2,183,428.4319987297058
2,184,417.49399757385254
17,185,409.44799852371216
1,186,399.463002204895
2,187,416.43100023269653
2,188,431.7440013885498
2,189,370.4640064239502
1,190,466.3600034713745
1,191,423.65599966049194
8,192,412.30399799346924
3,193,475.2720069885254
4,194,395.68199825286865
2,195,432.7929997444153
1,196,422.7640047073364
4,197,400.73000049591064
2,198,394.96299839019775
1,199,432.5049977302551
